Nom_Placette;XUTM;YUTM;h1;h2;h3
p12c4_2878;286560,9605;581298,5128;NA;NA;NA
p12c4_174;286579,9489;581278,0226;NA;NA;NA
p12c4_415;286597,1589;581307,676;9;11;12
p12c4_3128;286573,8224;581267,021;4;7;7
p12c4_3070;286572,0826;581265,3485;NA;NA;NA
p12c3_652;286513,4859;581325,3582;7;10;12
p12c3_843;286535,3425;581311,7633;NA;NA;NA
p12c3_748;286523,7316;581307,3106;NA;NA;NA
p12c3_717;286505,7217;581366,3199;4;5;7
p12c3_889;286522,4071;581363,339;9;10;15
p12c1_836;286497,9681;581377,8361;8;10;11
p12c1_1045;286520,32;581393,9245;NA;NA;NA
p10c3_3251;286540,3517;581587,1431;8;8;9
p10c3_205;286521,3331;581582,9097;4;5;7
p10c3_450;286548,3466;581602,6193;5;5;7
p10c3_367;286535,712;581617,74;6;8;12
p10c3_468;286549,0136;581624,6674;7;9;11
p10c3_512;286530,6102;581672,2474;6;7;9
p10c3_497;286538,6351;581661,0353;5;6;6
p10c3_333;286520,0681;581668,2982;7;10;12
p10c3_1027;286613,5232;581629,1594;4;5;7
p10c3_877;286593,4244;581643,6572;6;7;15
p10c4_59;286618,0194;581654,7565;6;6;8
p10c1_29;286472,0689;581706,748;7;8;9
p10c1_213;286488,0601;581706,6007;5;7;9
p10c1_51;286471,2208;581718,5605;10;10;12
p10c1_113;286457,3314;581788,7336;10;12;12
p10c1_139;286468,4986;581791,5294;8;10;11
p10c1_692;286538,041;581812,4361;7;9;10
p10c1_691;286537,9996;581816,2602;6;8;13
p10c1_814;286546,7925;581803,7251;9;9;12
p10c1_701;286537,7104;581795,9573;7;8;13
p10c1_830;286557,6957;581823,7189;5;9;10
p7c1_65;285976,5435;582696,9769;6;8;8
p7c1_235;286001,9818;582693,6598;7;9;12
p7c1_2825;286027,226;582709,1589;7;7;9
p7c1_2039;286059,413;582706,1071;7;10;10
p7c1_254;286006,8058;582670,5448;6;8;11
p7c1_167;286002,3543;582654,9873;5;7;7
p7c1_163;286009,542;582639,4615;5;7;7
p7c1_410;286040,9869;582643,6109;7;12;14
p7c3_2852;286054,6513;582600,9582;7;8;10
p7c3_707;286091,0764;582577,9448;5;5;12
p7c2_376;286154,2606;582650,1098;6;8;8
p7c2_339;286132,1326;582698,3677;9;9;12
p7c2_735;286180,4038;582704,2939;5;7;10
p7c2_582;286161,8661;582698,6921;5;6;10
p5c1_37;286121,4877;583063,8399;15;15;20
p5c1_3347;286130,5872;583070,8681;20;15;22
p5c1_201;286140,7049;583079,3356;22;15;7
p5c1_912;286203,634;583133,9676;8;9;10
p5c1_902;286209,4744;583124,3537;8;12;9
p5c1_953;286215,106;583132,8023;8;7;4
p5c1_645;286199,5586;583059,9913;12;5,5;7
p5c1_z;286204,047;583053,306;5;8;4
p5c1_829;286229,2142;583052,035;15;5;9
p5c2_212;286258,5825;583094,5892;6;9;10
p5c2_277;286268,9412;583096,1359;6;8;9
p5c2_266;286266,4731;583081,9186;8;12;20
p5c2_154;286243,9145;583166,7959;7;5;9
p5c2_2255;286254,8411;583161,7061;7;8;12
p5c2_477;286269,2414;583148,2096;7;10;6
p5c2_431;286282,332;583096,1597;4;5;6
p5c2_3174;286285,1255;583102,3684;9;15;8
p5c2_622;286302,6803;583103,0176;5;7;9
p5c2_548;286294,3448;583106,82;12;5;6
p6c1_809;286479,0508;583179,2712;3;4;5
p6c1_593;286472,2536;583159,2726;7;4;6
p6c1_2857;286491,11;583103,634;9;12;15
p6c1_641;286499,3933;583084,8639;8;13;7
p6c1_970;286534,0943;583104,3808;NA;NA;NA
p6c2_2988;286619,9635;583182,598;NA;NA;NA
p6c2_549;286605,8278;583175,7551;NA;NA;NA
p6c2_458;286588,7753;583200,3169;7;9;13
p6c2_685;286630,0732;583120,0978;NA;NA;NA
p6c2_2990;286647,914;583126,266;NA;NA;NA
p6c3_829;286531,2392;583075,5848;7;8,5;4
p6c3_543;286495,7313;583049,2101;20;9;12
p6c3_527;286497,5146;583034,9713;20;15;17
p3c2_3242;285570,8441;582700,3682;5;7;7
p3c2_750;285574,1171;582715,599;9;9;12
p3c2_794;285582,9488;582715,8223;10;12;14
p3c2_489;285529,4914;582734,4236;7;8;9
p3c2_398;285523,5664;582726,9133;6;7;10
p3c2_2807;285482,8123;582750,5537;7;9;11
p3c2_71;285475,512;582744,472;5;5;7
p3c2_2300;285512,62;582684,296;7;9;14
p3c4_639;285562,8117;582674,182;8;12;13
p3c4_629;285566,5389;582661,8931;9;10;10
p8c3_651;286018,2754;582136,8675;14;16;16
p8c3_634;286011,5029;582154,1401;8;9;13
p8c1_519;285977,0388;582209,6633;7;8;14
p8c1_506;285965,2363;582224,7264;6;7;9
p8c1_3119;286010,9009;582227,2596;6;6;6
p8c2_155;286050,4036;582203,7298;10;12;15
p8c4_3135;286063,336;582183,496;7;9;13
p11c2_651;286308,6298;581363,3508;4;7;15
p11c2_685;286307,9362;581363,129;5;6;6
p11c2_488;286287,2002;581373,2864;7;9;9
p11c2_11;286247,1213;581336,2162;5;7;8
p11c2_215;286255,667;581353,3959;6;7;9
p11c2_10;286252,3982;581338,0135;7;7;9
p16c9_366;285462,4932;581636,8415;12;12;14
p16c10_42;285485,5453;581668,2192;6;7;7
p16c5_164;285484,274;581740,975;NA;NA;NA
p16c4_23;285375,334;581689,2067;NA;NA;NA
p16c18_4;285364,1649;581358,353;7;7;12
p16c5_40;285468,4697;581733,1551;6;7;9
p16c23_99;285386,4553;581349,5131;7;8;8
p16c18_209;285401,9431;581370,1073;6;7;7
p16c18_186;285372,6292;581389,0726;9;10;16
p16c18_256;285388,7792;581413,6474;7;8;13
p16c8_424;285387,9308;581576,2402;5;7;13
p16c8_456;285310,2308;581593,2886;6;7;13
p16c8_387;285359,3044;581586,4975;8;13;17
p16c8_380;285361,7178;581607,7644;5;10;10
p16c13_534;285396,8513;581563,9547;10;11;13
HKO096-1;375183,4964;443814,907;10;11;13
HKO096-2;375200,2015;443771,4352;11;11;12
HKO096-3;375350,148;443655,0341;7;12;14
HKO096-4;375363,2535;443658,3328;7;7;9
HKO096-5;375170,4869;443881,4802;9;13;16
HKO096-6;375171,1386;443870,9764;10;10;15
HKO096-7;375536,4646;443828,7951;9;11;8
HKO096-8;375530,4034;443861,7494;9;9;11
HKO096-9;NA;NA;12;8;11
HKO096-10;375422,2969;444370,459;9;9;13
MAW745-1;402762,5433;429607,9105;5;5;7
MAW745-2;402762,7442;429587,4589;6;7;8
MAW745-3;402762,4138;429590,1124;12;15;16
MAW745-4;402801,1748;429599,911;6;6;8
MAW745-5;402800,4026;429604,776;7;9;10
MAW745-6;402824,4572;429614,7942;6;7;10
MAW745-7;402140,111;429843,8043;8;9;11
MAW745-8;402170,0691;429823,6533;11;12;13
MAW745-9;402068,1942;429875,4962;5;5;9
HKO096-11;375527,9478;444661,7418;10;9;7
HKO096-12;375601,5051;444866,7237;8;10;11
HKO096-13;375734,7181;444855,3747;6;7;8
HKO096-14;375724,2608;444840,0216;9;10;12
HKO096-15;375610,4976;444947,3072;9;10;11
HKO096-M1;376290,0527;444850,9666;10;8;8
HKO096-M2;376301,5595;444821,8745;9;9;17
HKO096-M3;376289,5514;444809,0663;11;12;13
HKO096-M4;376144,3556;444744,8101;8;10;14
HKO096-M5;376252,1137;444711,0537;11;12;13
HKO096-M6;376219,9371;444644,6532;8;8;12
HKO096-M7;376201,0806;444657,5035;11;13;14
